"","date","time","year","month","doy","dow","death","cvd","resp","temp","dptp","rhum","pm10","o3"
"1",1987-01-01,1,1987,1,1,"Thursday",130,65,13,-0.277777777777778,31.5,95.5,26.956073733,4.376079071
"2",1987-01-02,2,1987,1,2,"Friday",150,73,14,0.555555555555556,29.875,88.25,NA,4.929803271
"3",1987-01-03,3,1987,1,3,"Saturday",101,43,11,0.555555555555556,27.375,89.5,32.838694951,3.751079071
"4",1987-01-04,4,1987,1,4,"Sunday",135,72,7,-1.66666666666667,28.625,84.5,39.9560737332,4.292745731
"5",1987-01-05,5,1987,1,5,"Monday",126,64,12,0,28.875,74.5,NA,4.751079071
"6",1987-01-06,6,1987,1,6,"Tuesday",130,63,12,4.44444444444444,35.125,77.375,40.9560737332,6.334412401
"7",1987-01-07,7,1987,1,7,"Wednesday",129,72,12,1.38888888888889,26.75,74.5,33.956073733,8.594018961
"8",1987-01-08,8,1987,1,8,"Thursday",109,51,13,-1.66666666666667,22,77.875,28.956073733,11.797889681
"9",1987-01-09,9,1987,1,9,"Friday",125,62,7,-3.05555555555556,29,95.125,32.348770798,3.876079071
"10",1987-01-10,10,1987,1,10,"Saturday",153,90,11,0.277777777777778,27.75,81.875,NA,5.388136611
"11",1987-01-11,11,1987,1,11,"Sunday",124,69,5,-1.38888888888889,20.125,77.25,14.956073737,18.256223014
"12",1987-01-12,12,1987,1,12,"Monday",111,57,11,1.38888888888889,26,79,18.956073737,8.339556351
"13",1987-01-13,13,1987,1,13,"Tuesday",104,50,9,1.11111111111111,32.25,74.625,45.956073733,6.922889681
"14",1987-01-14,14,1987,1,14,"Wednesday",118,54,6,3.05555555555556,36.375,94.25,35.9560737332,5.339556351
"15",1987-01-15,15,1987,1,15,"Thursday",109,54,10,0.277777777777778,24.25,75.375,26.93720102,5.256223011
"16",1987-01-16,16,1987,1,16,"Friday",125,60,11,-3.88888888888889,21.5,80.75,11.956073737,8.964556351
"17",1987-01-17,17,1987,1,17,"Saturday",128,58,16,-2.77777777777778,24.75,89.125,NA,6.589556351
"18",1987-01-18,18,1987,1,18,"Sunday",141,86,8,-8.05555555555556,11.125,87.25,31.956073733,6.964556351
"19",1987-01-19,19,1987,1,19,"Monday",130,74,12,-5,15.75,70.375,24.956073733,16.334412401
"20",1987-01-20,20,1987,1,20,"Tuesday",133,71,9,-6.38888888888889,11.5,72.125,30.956073733,5.554803271
"21",1987-01-21,21,1987,1,21,"Wednesday",115,52,10,-5.55555555555556,20.625,72.75,31.987965174,6.975093131
"22",1987-01-22,22,1987,1,22,"Thursday",121,60,10,-6.94444444444444,7.375,67.75,44.956073733,11.339556351
"23",1987-01-23,23,1987,1,23,"Friday",107,47,7,-16.3888888888889,-12.25,50,47.956073733,16.042745734
"24",1987-01-24,24,1987,1,24,"Saturday",123,72,8,-16.6666666666667,-5.625,53.25,30.956073733,11.709412401
"25",1987-01-25,25,1987,1,25,"Sunday",107,43,8,-12.5,-5.25,47.125,NA,8.172889681
"26",1987-01-26,26,1987,1,26,"Monday",116,67,12,-8.88888888888889,4.75,61.25,63.956073733,5.209412401
"27",1987-01-27,27,1987,1,27,"Tuesday",130,73,7,-8.05555555555556,17.75,84.25,36.3181462633,4.131223011
"28",1987-01-28,28,1987,1,28,"Wednesday",114,55,9,-1.38888888888889,18.25,71.375,39.9560737332,7.251079071
"29",1987-01-29,29,1987,1,29,"Thursday",123,54,8,-1.38888888888889,32.875,96.5,27.956073733,3.900162411
"30",1987-01-30,30,1987,1,30,"Friday",103,50,11,0.277777777777778,24.125,68.5,51.956073733,9.381223011
"31",1987-01-31,31,1987,1,31,"Saturday",115,64,5,-2.5,26.5,76,28.956073733,8.721469941
"32",1987-02-01,32,1987,2,32,"Sunday",127,70,6,5,32.25,79.25,NA,6.388136611
"33",1987-02-02,33,1987,2,33,"Monday",131,58,14,2.5,34,71.75,40.2284865,4.013136611
"34",1987-02-03,34,1987,2,34,"Tuesday",112,55,9,1.11111111111111,26.25,79.875,51.956073733,8.797889681
"35",1987-02-04,35,1987,2,35,"Wednesday",126,61,6,-0.277777777777778,24.25,74.625,31.319397609,10.134679811
"36",1987-02-05,36,1987,2,36,"Thursday",127,71,7,-1.38888888888889,27.25,84.75,62.956073733,4.801346481
"37",1987-02-06,37,1987,2,37,"Friday",103,48,5,2.77777777777778,30.375,69.75,55.956073733,5.144643581
"38",1987-02-07,38,1987,2,38,"Saturday",128,67,15,4.72222222222222,35.75,71.625,36.9560737332,4.738846481
"39",1987-02-08,39,1987,2,39,"Sunday",133,61,8,0.277777777777778,3.5,44.625,17.240033057,24.4680131442
"40",1987-02-09,40,1987,2,40,"Monday",115,57,7,-4.16666666666667,17.375,55.125,34.9560737332,8.655513141
"41",1987-02-10,41,1987,2,41,"Tuesday",124,53,11,1.66666666666667,27.375,74,28.956073733,7.468013141
"42",1987-02-11,42,1987,2,42,"Wednesday",117,62,13,4.16666666666667,29.375,69.5,75.956073733,7.081896541
"43",1987-02-12,43,1987,2,43,"Thursday",116,53,10,1.11111111111111,24.75,75.625,76.956073733,6.488846481
"44",1987-02-13,44,1987,2,44,"Friday",128,70,11,1.38888888888889,30.875,71.625,31.956073733,9.726165321
"45",1987-02-14,45,1987,2,45,"Saturday",119,60,11,-0.277777777777778,22,76.25,22.472154927,10.468013141
"46",1987-02-15,46,1987,2,46,"Sunday",115,55,6,-4.72222222222222,10.125,58.5,4.956073737,27.6346798108
"47",1987-02-16,47,1987,2,47,"Monday",107,54,6,-4.44444444444444,18.125,66.5,6.956073737,23.718013144
